Date,Actual,ARIMA_Predicted
2024-11-19,5.4281635790975935,227.09660046844914
2024-11-20,5.431312612358746,227.16379886765642
2024-11-21,5.429214381371013,227.14605148741236
2024-11-22,5.435104533172012,227.15073800032388
2024-11-25,5.448070968367345,227.14950039786405
2024-11-26,5.45743138175315,227.14982721765062
2024-11-27,5.456878190018407,227.1497409125186
2024-11-28,5.456878190018407,227.14976370358312
2024-11-29,5.467042177432452,227.14975768502205
2024-12-02,5.476519733342323,227.14975927437627
2024-12-03,5.489210707722922,227.14975885466689
2024-12-04,5.490693215028733,227.1497589655018
2024-12-05,5.490816637175713,227.14975893623298
2024-12-06,5.48999336701798,227.1497589439622
2024-12-09,5.505966310938905,227.1497589419211
2024-12-10,5.510091538032628,227.14975894246018
2024-12-11,5.504912079383936,227.14975894231776
2024-12-12,5.5108580920760595,227.14975894235528
2024-12-13,5.511543432538994,227.1497589423454
2024-12-16,5.523202929951188,227.14975894234803
2024-12-17,5.532875503367924,227.1497589423474
2024-12-18,5.511220985141982,227.1497589423476
2024-12-19,5.5182111974352726,227.1497589423476
2024-12-20,5.536852237452054,227.1497589423476
2024-12-23,5.539912499347629,227.1497589423476
2024-12-24,5.55132520476445,227.1497589423476
2024-12-25,5.55132520476445,227.1497589423476
2024-12-26,5.554495875077871,227.1497589423476
2024-12-27,5.541165225852969,227.1497589423476
2024-12-30,5.527813014961729,227.1497589423476
